brand,model,price,depre,age,mileage,eng_cap,power,owners,reg_date,maturity_date,years_left,COE_extended
Lexus,ES250 Luxury Sunroof,81800,20940.0,7.2,80000.0,2494.0,135.0,2,2015-10-16,2025-10-15,2.8,False
Mercedes-Benz,CLA-Class CLA180 AMG Line,98888,19820.0,5.7,90000.0,1595.0,90.0,3,2017-04-13,2027-04-13,4.3,False
BMW,5 Series 520i ,127800,13850.0,10.6,145000.0,1997.0,135.0,5,2012-05-29,2032-03-01,9.1,True
Lexus,IS Hybrid IS300h Executive,168800,19170.0,2.4,24711.0,2494.0,164.0,1,2020-08-13,2030-08-13,7.6,False
Mercedes-Benz,E-Class E280 ,68280,8220.0,21.5,,2799.0,,,2001-07-24,2031-04-01,8.2,True
Mercedes-Benz,E-Class E200 Avantgarde,158001,27140.0,5.4,,1991.0,135.0,1,2017-08-16,2027-08-16,4.6,False
Audi,A4 1.8A TFSI MU ,38300,17410.0,12.8,146000.0,1798.0,118.0,1,2010-03-25,2025-03-01,2.1,True
BMW,7 Series 740Li Sunroof ,122000,16050.0,12.4,69000.0,2979.0,240.0,2,2010-08-17,2030-08-01,7.6,True
BMW,5 Series 520i Luxury,186688,20450.0,2.5,31761.0,1998.0,135.0,2,2020-06-29,2030-06-29,7.5,False
BMW,3 Series Plug-in Hybrid 330e Luxury,266000,26840.0,1.4,6221.0,1998.0,218.0,1,2021-08-30,2031-08-30,8.6,False
Mercedes-Benz,C-Class C180 Avantgarde,139800,19190.0,3.8,49600.0,1595.0,115.0,1,2019-03-15,2029-03-14,6.2,False
Mercedes-Benz,C-Class C250 ,148800,17920.0,11.2,58000.0,1796.0,150.0,2,2011-10-17,2031-04-01,8.2,True
BMW,5 Series 535i Gran Turismo Sunroof ,129800,14880.0,11.3,100000.0,2979.0,225.0,3,2011-10-11,2031-09-01,8.6,True
Maserati,Ghibli 3.0A,158800,31790.0,7.0,99000.0,2979.0,243.0,4,2016-01-15,2026-01-14,3.0,False
Mercedes-Benz,C-Class C180K Sunroof ,99800,10920.0,10.8,113000.0,1597.0,115.0,2,2012-03-13,2032-02-01,9.1,True
BMW,5 Series 523i ,95888,12020.0,11.8,175588.0,2497.0,150.0,4,2011-03-07,2030-12-01,7.9,True
Audi,A4 1.4A TFSI S-tronic,97888,17350.0,5.2,44055.0,1395.0,110.0,2,2017-11-14,2027-11-14,4.8,False
BMW,4 Series 435i Gran Coupe M-Sport Sunroof,120800,29350.0,7.2,117000.0,2979.0,225.0,4,2015-11-05,2025-11-04,2.8,False
Volkswagen,Passat 2.0A TSI Exclusiveline,110988,17960.0,5.0,64500.0,1984.0,162.0,2,2018-01-26,2028-01-26,5.0,False
Audi,A7 Sportback 2.8A FSI Quattro ,79800,19680.0,10.9,92000.0,2773.0,150.0,3,2012-01-31,2027-01-01,4.0,True
Mercedes-Benz,S-Class S320L,279800,34300.0,3.8,46000.0,2996.0,200.0,2,2019-03-08,2029-03-07,6.2,False
BMW,3 Series 318i,112888,15860.0,4.1,76000.0,1499.0,100.0,3,2018-11-30,2028-11-29,5.9,False
Mercedes-Benz,C-Class C180 Avantgarde,100888,19510.0,5.8,105128.0,1595.0,115.0,1,2017-03-27,2027-03-27,4.2,False
Mercedes-Benz,CLA-Class CLA200 ,120000,13010.0,9.3,,1595.0,115.0,5,2013-10-03,2032-03-01,9.1,True
Mercedes-Benz,S-Class S320L,161800,28350.0,6.7,74000.0,2996.0,200.0,3,2016-05-17,2026-05-17,3.3,False
Audi,A4 2.0A TFSI S-tronic,128988,16690.0,3.4,75000.0,1984.0,140.0,1,2019-07-31,2029-07-30,6.5,False
Mercedes-Benz,E-Class E200 Avantgarde,141888,22440.0,5.2,113800.0,1991.0,135.0,1,2017-11-13,2027-11-13,4.8,False
Mercedes-Benz,A-Class Saloon A180 Progressive,163888,15890.0,0.8,3500.0,1332.0,96.0,1,2022-03-17,2032-03-16,9.2,False
Mercedes-Benz,E-Class E200 Avantgarde,165800,21900.0,4.1,70000.0,1991.0,135.0,1,2018-12-17,2028-12-16,5.9,False
BMW,3 Series 320i Sunroof ,73800,10340.0,12.6,108000.0,1995.0,115.0,2,2010-06-11,2030-02-01,7.1,True
Toyota,Camry 2.0A ,61800,10340.0,13.9,,1998.0,108.0,4,2009-02-05,2028-12-01,5.9,True
BMW,5 Series 520d M-Sport,142800,23770.0,5.2,74100.0,1995.0,140.0,1,2017-10-20,2027-10-20,4.8,False
Lexus,IS Turbo IS200t Executive,102988,19080.0,5.8,96885.0,1998.0,180.0,2,2017-03-24,2027-03-24,4.2,False
